CampaignID,Campaign Name,Campaign Type,Campaign Subtype,Campaign Start Date
ID0000000001,Event_2023-07_Conference,Event,Conference,2023-07-04
ID0000000002,Content_2023-07_Infographic,Content,Infographic,2023-07-25
ID0000000003,Event_2023-08_Networking_event,Event,Networking_event,2023-08-10
ID0000000004,Event_2023-09_Trade_show,Event,Trade_show,2023-09-20
ID0000000005,Event_2023-10_Networking_event,Event,Networking_event,2023-10-25
ID0000000006,Event_2023-11_Networking_event,Event,Networking_event,2023-11-28
ID0000000007,Event_2024-01_Conference,Event,Conference,2024-01-12
ID0000000008,Event_2024-02_Product_launche,Event,Product_launche,2024-02-16
ID0000000009,Event_2024-03_Trade_show,Event,Trade_show,2024-03-18
ID0000000010,Event_2024-05_Product_launche,Event,Product_launche,2024-05-02
ID0000000011,Content_2024-05_Webinar,Content,Webinar,2024-05-22
ID0000000012,Event_2024-06_Networking_event,Event,Networking_event,2024-06-03
ID0000000013,Content_2024-06_Infographic,Content,Infographic,2024-06-27
ID0000000014,Event_2024-07_Networking_event,Event,Networking_event,2024-07-05
ID0000000015,Content_2024-07_Webinar,Content,Webinar,2024-07-23
ID0000000016,Event_2024-08_Workshop,Event,Workshop,2024-08-08
ID0000000017,Event_2024-09_Trade_show,Event,Trade_show,2024-09-16
ID0000000018,Event_2024-10_Workshop,Event,Workshop,2024-10-18
ID0000000019,Event_2024-11_Trade_show,Event,Trade_show,2024-11-21
ID0000000020,Content_2024-11_Webinar,Content,Webinar,2024-11-22
ID0000000021,Event_2024-12_Workshop,Event,Workshop,2024-12-25
ID0000000022,Content_2025-01_Infographic,Content,Infographic,2025-01-24
ID0000000023,Event_2025-01_Conference,Event,Conference,2025-01-27
ID0000000024,Content_2025-02_Infographic,Content,Infographic,2025-02-03
ID0000000025,Event_2025-02_Product_launche,Event,Product_launche,2025-02-28
ID0000000026,Event_2025-03_Workshop,Event,Workshop,2025-03-31
ID0000000027,Content_2025-04_Webinar,Content,Webinar,2025-04-14
ID0000000028,Event_2025-05_Workshop,Event,Workshop,2025-05-02
ID0000000029,Event_2025-06_Networking_event,Event,Networking_event,2025-06-09
ID0000000030,Content_2025-07_White_Paper,Content,White_Paper,2025-07-09
ID0000000031,Event_2025-07_Product_launche,Event,Product_launche,2025-07-10
ID0000000032,Event_2025-08_Trade_show,Event,Trade_show,2025-08-12
