CampaignMemberID,CampaignID,LeadID,Date
ID0000000001,ID0000000001,ID0000000020,2023-07-04
ID0000000002,ID0000000001,ID0000000021,2023-07-04
ID0000000003,ID0000000001,ID0000000022,2023-07-04
ID0000000004,ID0000000001,ID0000000023,2023-07-04
ID0000000005,ID0000000001,ID0000000024,2023-07-04
ID0000000006,ID0000000001,ID0000000025,2023-07-04
ID0000000007,ID0000000001,ID0000000026,2023-07-04
ID0000000008,ID0000000001,ID0000000027,2023-07-04
ID0000000009,ID0000000001,ID0000000028,2023-07-04
ID0000000010,ID0000000001,ID0000000029,2023-07-04
ID0000000011,ID0000000001,ID0000000030,2023-07-04
ID0000000012,ID0000000001,ID0000000031,2023-07-04
ID0000000013,ID0000000001,ID0000000032,2023-07-04
ID0000000014,ID0000000001,ID0000000033,2023-07-04
ID0000000015,ID0000000001,ID0000000034,2023-07-04
ID0000000016,ID0000000001,ID0000000035,2023-07-04
ID0000000017,ID0000000001,ID0000000036,2023-07-04
ID0000000018,ID0000000001,ID0000000037,2023-07-04
ID0000000019,ID0000000001,ID0000000038,2023-07-04
ID0000000020,ID0000000001,ID0000000039,2023-07-04
ID0000000021,ID0000000001,ID0000000040,2023-07-04
ID0000000022,ID0000000001,ID0000000041,2023-07-04
ID0000000023,ID0000000001,ID0000000042,2023-07-04
ID0000000024,ID0000000001,ID0000000043,2023-07-04
ID0000000025,ID0000000001,ID0000000044,2023-07-04
ID0000000026,ID0000000001,ID0000000045,2023-07-04
ID0000000027,ID0000000001,ID0000000046,2023-07-04
ID0000000028,ID0000000001,ID0000000047,2023-07-04
ID0000000029,ID0000000001,ID0000000048,2023-07-04
ID0000000030,ID0000000001,ID0000000049,2023-07-04
ID0000000031,ID0000000001,ID0000000050,2023-07-04
ID0000000032,ID0000000001,ID0000000051,2023-07-04
ID0000000033,ID0000000001,ID0000000052,2023-07-04
ID0000000034,ID0000000001,ID0000000053,2023-07-04
ID0000000035,ID0000000002,ID0000000089,2023-07-12
ID0000000036,ID0000000002,ID0000000090,2023-07-12
ID0000000037,ID0000000002,ID0000000091,2023-07-12
ID0000000038,ID0000000002,ID0000000092,2023-07-12
ID0000000039,ID0000000002,ID0000000093,2023-07-12
ID0000000040,ID0000000002,ID0000000094,2023-07-12
ID0000000041,ID0000000002,ID0000000095,2023-07-12
ID0000000042,ID0000000002,ID0000000096,2023-07-12
ID0000000043,ID0000000002,ID0000000097,2023-07-12
ID0000000044,ID0000000002,ID0000000098,2023-07-12
ID0000000045,ID0000000002,ID0000000099,2023-07-12
ID0000000046,ID0000000002,ID0000000100,2023-07-12
ID0000000047,ID0000000002,ID0000000101,2023-07-12
ID0000000048,ID0000000002,ID0000000102,2023-07-12
ID0000000049,ID0000000002,ID0000000103,2023-07-12
ID0000000050,ID0000000002,ID0000000104,2023-07-12
ID0000000051,ID0000000002,ID0000000105,2023-07-12
ID0000000052,ID0000000002,ID0000000106,2023-07-12
ID0000000053,ID0000000002,ID0000000107,2023-07-12
ID0000000054,ID0000000002,ID0000000108,2023-07-12
ID0000000055,ID0000000002,ID0000000114,2023-07-13
ID0000000056,ID0000000002,ID0000000115,2023-07-13
ID0000000057,ID0000000002,ID0000000116,2023-07-13
ID0000000058,ID0000000002,ID0000000117,2023-07-13
ID0000000059,ID0000000002,ID0000000118,2023-07-13
ID0000000060,ID0000000002,ID0000000119,2023-07-13
ID0000000061,ID0000000002,ID0000000120,2023-07-13
ID0000000062,ID0000000002,ID0000000121,2023-07-13
ID0000000063,ID0000000002,ID0000000122,2023-07-13
ID0000000064,ID0000000002,ID0000000123,2023-07-13
ID0000000065,ID0000000002,ID0000000124,2023-07-13
ID0000000066,ID0000000002,ID0000000125,2023-07-13
ID0000000067,ID0000000002,ID0000000126,2023-07-13
ID0000000068,ID0000000002,ID0000000127,2023-07-13
ID0000000069,ID0000000002,ID0000000128,2023-07-13
ID0000000070,ID0000000002,ID0000000129,2023-07-13
ID0000000071,ID0000000002,ID0000000130,2023-07-13
ID0000000072,ID0000000002,ID0000000133,2023-07-14
ID0000000073,ID0000000002,ID0000000134,2023-07-14
ID0000000074,ID0000000002,ID0000000135,2023-07-14
ID0000000075,ID0000000002,ID0000000136,2023-07-14
ID0000000076,ID0000000002,ID0000000137,2023-07-14
ID0000000077,ID0000000002,ID0000000138,2023-07-14
ID0000000078,ID0000000002,ID0000000139,2023-07-14
ID0000000079,ID0000000002,ID0000000140,2023-07-14
ID0000000080,ID0000000002,ID0000000141,2023-07-14
ID0000000081,ID0000000002,ID0000000142,2023-07-14
ID0000000082,ID0000000002,ID0000000143,2023-07-14
ID0000000083,ID0000000002,ID0000000144,2023-07-14
ID0000000084,ID0000000002,ID0000000145,2023-07-14
ID0000000085,ID0000000002,ID0000000146,2023-07-14
ID0000000086,ID0000000002,ID0000000147,2023-07-14
ID0000000087,ID0000000002,ID0000000148,2023-07-14
ID0000000088,ID0000000002,ID0000000149,2023-07-14
ID0000000089,ID0000000002,ID0000000150,2023-07-14
