LeadID,Created Date,Lead Status,MQL Date,Qualifying Date,Nurture Date,Qualified Date,Lead Source,Lead Source Details,Rep ID,Rep Name,ReMQL Date,Recent Lead Source,Recent Lead Source Details
ID0000000001,2023-07-01,Nurture,2023-07-01,2023-07-03,2023-09-05,,Organic,,,,,Organic,
ID0000000002,2023-07-01,Qualified,2023-07-01,2023-07-04,,2023-07-18,Organic,,,,,Organic,
ID0000000003,2023-07-01,Nurture,2023-07-01,2023-07-05,2023-09-07,,Organic,,,,,Organic,
ID0000000004,2023-07-01,Nurture,2023-07-01,2023-07-04,2023-09-15,,Organic,,,,,Organic,
ID0000000005,2023-07-02,Qualified,2023-07-02,2023-07-03,,2023-07-24,Organic,,,,,Organic,
ID0000000006,2023-07-03,Nurture,2023-07-03,2023-07-03,2023-09-08,,Organic,,,,,Organic,
ID0000000007,2023-07-03,Nurture,2023-07-03,2023-07-03,2023-09-06,,Organic,,,,,Organic,
ID0000000008,2023-07-03,Nurture,2023-07-03,2023-07-03,2023-09-05,,Organic,,,,,Organic,
ID0000000009,2023-07-03,Qualified,2023-07-03,2023-07-03,,2023-07-26,Organic,,,,,Organic,
ID0000000010,2023-07-03,Nurture,2023-07-03,2023-07-03,2023-09-11,,Organic,,,,,Organic,
ID0000000011,2023-07-03,Nurture,2023-07-03,2023-07-03,2023-09-06,,Organic,,,,,Organic,
ID0000000012,2023-07-03,Nurture,2023-07-03,2023-07-04,2023-09-13,,Organic,,,,,Organic,
ID0000000013,2023-07-03,Nurture,2023-07-03,2023-07-03,2023-09-05,,Organic,,,,,Organic,
ID0000000014,2023-07-03,Nurture,2023-07-03,2023-07-03,2023-09-04,,Organic,,,,,Organic,
ID0000000015,2023-07-03,Nurture,2023-07-03,2023-07-03,2023-09-08,,Organic,,,,,Organic,
ID0000000016,2023-07-03,Nurture,2023-07-03,2023-07-03,2023-09-07,,Organic,,,,,Organic,
ID0000000017,2023-07-04,Nurture,2023-07-04,2023-07-04,2023-09-13,,Organic,,,,,Organic,
ID0000000018,2023-07-04,Nurture,2023-07-04,2023-07-04,2023-09-06,,Organic,,,,,Organic,
ID0000000019,2023-07-04,Qualified,2023-07-04,2023-07-04,,2023-08-25,Organic,,,,,Organic,
ID0000000020,2023-07-04,Nurture,2023-07-04,2023-07-05,2023-09-14,,Event,Event_2023-07_Conference,,,,Event,Event_2023-07_Conference
ID0000000021,2023-07-04,Nurture,2023-07-04,2023-07-05,2023-09-12,,Event,Event_2023-07_Conference,,,,Event,Event_2023-07_Conference
ID0000000022,2023-07-04,Nurture,2023-07-04,2023-07-05,2023-09-11,,Event,Event_2023-07_Conference,,,,Event,Event_2023-07_Conference
ID0000000023,2023-07-04,Nurture,2023-07-04,2023-07-04,2023-09-11,,Event,Event_2023-07_Conference,,,,Event,Event_2023-07_Conference
ID0000000024,2023-07-04,Nurture,2023-07-04,2023-07-04,2023-09-15,,Event,Event_2023-07_Conference,,,,Event,Event_2023-07_Conference
ID0000000025,2023-07-04,Nurture,2023-07-04,2023-07-10,2023-09-14,,Event,Event_2023-07_Conference,,,,Event,Event_2023-07_Conference
ID0000000026,2023-07-04,Nurture,2023-07-04,2023-07-04,2023-09-05,,Event,Event_2023-07_Conference,,,,Event,Event_2023-07_Conference
ID0000000027,2023-07-04,Nurture,2023-07-04,2023-07-04,2023-09-08,,Event,Event_2023-07_Conference,,,,Event,Event_2023-07_Conference
ID0000000028,2023-07-04,Nurture,2023-07-04,2023-07-04,2023-09-12,,Event,Event_2023-07_Conference,,,,Event,Event_2023-07_Conference
ID0000000029,2023-07-04,Nurture,2023-07-04,2023-07-04,2023-09-11,,Event,Event_2023-07_Conference,,,,Event,Event_2023-07_Conference
ID0000000030,2023-07-04,Nurture,2023-07-04,2023-07-06,2023-09-06,,Event,Event_2023-07_Conference,,,,Event,Event_2023-07_Conference
ID0000000031,2023-07-04,Nurture,2023-07-04,2023-07-04,2023-09-05,,Event,Event_2023-07_Conference,,,,Event,Event_2023-07_Conference
ID0000000032,2023-07-04,Qualified,2023-07-04,2023-07-05,,2023-09-06,Event,Event_2023-07_Conference,,,,Event,Event_2023-07_Conference
